id,username,category,profilePicUrl,followers,reelsCount30d,avgViews30d,lastScrapedAt
14460a74-c808-41ec-85e2-ca9f901d4e64,daniel.garofoli,dubai-real-estate,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-19/280746826_543487343960218_8759497484694303200_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QG0fCTBw7T2YzSRYGSSeLkOV7bQ1H6ILJnoGQXMrdvG2Se7htP1zBIbSBY3cmzJ_H0&_nc_ohc=L_OrJXVnaSUQ7kNvwHT3oJa&_nc_gid=oy-CihY9JvGL0cUwfkhhpA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfztrVSCk3KC4A3q24cVGpXKYjEqLK-VSXVNzdjZEy8TxA&oe=69B7009D&_nc_sid=8b3546,53197,26,29409,2026-03-11T10:03:53.819Z
3b2ec87a-3e50-43f9-adc2-9c55ae3e3123,_annaherbst,dubai-real-estate,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/412156974_1527281441456595_8937013037453388914_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QF88nXfRw_Z7H7UbGUXqaNEcZQUcTRXPtuJEgYcYXovCK8nfCxYzFWOtVZ7Pq0aGbg&_nc_ohc=a_hOStiFYdUQ7kNvwHhEAR-&_nc_gid=5rSLUP40k8PmqztU7CyqcQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfzyN0x8RfpH3t04KU9zRdqo4yXL9HHYL5rDMIm5ZjQAUg&oe=69B6F8FC&_nc_sid=8b3546,15411,22,5229,2026-03-11T10:05:00.941Z
4b5b6590-3f77-4743-86f8-1fabcd74c407,realestateblondies,dubai-real-estate,https://instagram.ffcm1-2.fna.fbcdn.net/v/t51.82787-19/643559595_18101504345312642_3471591384691201342_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.ffcm1-2.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QHF4NVsfPcM2okqiIt-A_esscGeBVt2546WFxNMaXcJ0YhjmZMjobgWfpOZ72Oa9As&_nc_ohc=lbBKzmZQ9ZAQ7kNvwE5aMbc&_nc_gid=m1fFsPgkM7xzhmd93AAKmw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfxvXM8woCDRyQUEhqKH4cGoEZ9rcPd-0nhU3HDFOuHt5Q&oe=69B71451&_nc_sid=8b3546,54151,26,6549,2026-03-11T10:06:21.397Z
f1c2e3d4-5a6b-7c8d-9e0f-1a2b3c4d5e6f,gtkombucha,kombucha,,0,0,0,2026-03-11T10:06:41.125Z
a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,healthade,kombucha,https://instagram.fmem1-2.fna.fbcdn.net/v/t51.82787-19/640425012_18565370797037236_1563663508216308668_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDc5LmMyIn0&_nc_ht=instagram.fmem1-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QEzLSfwwfR0MxW2cGdg5JwYhUE-zgnpbsCN5sDliXFtbPdl0cMLc35uK74ejIAyxyKLlvdinMUMLEthPxLszQvF&_nc_ohc=FsWfSaFiS_0Q7kNvwFQQK5d&_nc_gid=7QRrP6-kefv01Bu_zAFEpQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfxEUvhd5-htRSHmrsBYcPoJP2MYagRCcWxpnu8swCuqmg&oe=69B708F6&_nc_sid=8b3546,161559,15,19650,2026-03-11T10:07:26.686Z
b2c3d4e5-f6a7-8b9c-0d1e-2f3a4b5c6d7e,remedykombucha,kombucha,https://instagram.fjlr3-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fjlr3-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHV_M2davQG8KNZDnaUxKIKr-HufGDcnD2Ibf6IjE_zfBhB4sdf-wm5lXuBMRQDQN80eq528HnBmsx4ro8FFmmo&_nc_ohc=2tyZ8HJj7tUQ7kNvwF4rOVS&_nc_gid=zvxvnzK9zOxElX7IS8Ioww&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AfzqMvL6plsQnjcj7z_A7K1GYNoARG-y0kNmFBe-I1b0ow&oe=69B7142A&_nc_sid=65462d,104,0,0,2026-03-11T10:07:53.339Z
c3d4e5f6-a7b8-9c0d-1e2f-3a4b5c6d7e8f,brewdrkombuchaofficial,kombucha,,0,0,0,2026-03-11T10:08:16.045Z
d4e5f6a7-b8c9-0d1e-2f3a-4b5c6d7e8f9g,synergykombucha,kombucha,https://instagram.fhsv1-1.fna.fbcdn.net/v/t51.82787-19/638845149_18566028031015483_8737870620622075423_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhsv1-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGiedXTrmfV4R0JORKn8AEchKi8ovWn92_j3FPf6HWSEwDI57E0ZNdWzaACtezKlas&_nc_ohc=35VD1yViKP0Q7kNvwFeQjRD&_nc_gid=k6--uRCuaKGpId-LQpYjWQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfyGfKxW4HjVAcpOTtU0aTLsfzggT9f-VHnuw2XVfS5c6Q&oe=69B70334&_nc_sid=8b3546,262141,25,38118,2026-03-11T10:09:05.021Z
e5f6a7b8-c9d0-1e2f-3a4b-5c6d7e8f9g0h,drinkpoppi,kombucha,https://scontent-lga3-1.cdninstagram.com/v/t51.82787-19/642077105_18157082116447400_4599460350472289323_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFPSpQLHlyRHent7ga6rdfBsj5c_MTWoQ4NrmPp5AFENT2LJqxfDSAqH3cvRkRQY2M&_nc_ohc=3Bc2RU50jSIQ7kNvwELUFzx&_nc_gid=c_HlBP4deL0uC1aJzAlVrQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfzRoS4LFSBeCv69CdTLqvZjnjRqeSUcwLpOcqLp_keG9Q&oe=69B70EA4&_nc_sid=8b3546,646425,15,100117,2026-03-11T10:09:37.780Z
f6a7b8c9-d0e1-2f3a-4b5c-6d7e8f9g0h1i,drinkolipop,kombucha,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-19/611189798_18322041535222208_8238498028427675696_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MDAuYzIifQ&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEfIQM5YMdxBIsUt3M9OTywASVEMmLR25UaR8GO2fOoxKWDmR5Lj5v1N7brZYFCaN0&_nc_ohc=YjEfA8nSaRUQ7kNvwEX1IGJ&_nc_gid=4ko_qVkvevGxn3lftFikqQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfzfTM5bt6Rw9gpA6KjxngS-JbNhvZkFzlt4-tfHoTX07g&oe=69B709C4&_nc_sid=8b3546,427006,17,207116,2026-03-11T10:10:19.961Z
a7b8c9d0-e1f2-3a4b-5c6d-7e8f9g0h1i2j,drinkwildwonder,kombucha,https://scontent-lax3-1.cdninstagram.com/v/t51.82787-19/609376399_18039505709718928_8175692512846580970_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGbstFUzlUEKvZLWo9cdVxuGL1yhsXt8t4eGw2ybJ-HS8XiWScUOwrwrx49PetbMAM&_nc_ohc=ap3uuhOGGsAQ7kNvwFh4E61&_nc_gid=fw1iqd6Odq1V9tXr5hmTKA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfwccxoLotLT04uMprdR7KEDvajvLLA-_zmEcdoHRjwFmw&oe=69B711A5&_nc_sid=8b3546,54322,22,20478,2026-03-11T10:11:49.986Z
b8c9d0e1-f2a3-4b5c-6d7e-8f9g0h1i2j3k,karmakombucha,kombucha,https://instagram.fbfh23-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fbfh23-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFZ44qeqKvAhaExKuYtmxzy-HD4_dkxlOHg36juix5k_TvW3AaOzJI7VCP7W6cdgybuqmTou2PlMXYScCWVYSiw&_nc_ohc=2tyZ8HJj7tUQ7kNvwFu5pC8&_nc_gid=NBuknA-CaGvAExgncH6AyQ&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_Afxf00r1wg-f7dlJBZZw_83_3zLKMcUCgmbS4g3qKJYoTw&oe=69B7142A&_nc_sid=65462d,26,0,0,2026-03-11T10:12:01.125Z
